
 Drummond PSA 10

 [['December 3rd, 2020' '$94.00']
 ['December 1st, 2020' '$60.00']
 ['November 30th, 2020' '$114.01']
 ['November 13th, 2020' '$144.95']
 ['November 9th, 2020' '$99.99']
 ['October 29th, 2020' '$53.00']
 ['October 28th, 2020' '$65.00']
 ['October 26th, 2020' '$117.02']
 ['October 20th, 2020' '$88.00']
 ['September 30th, 2020' '$113.00']
 ['September 23rd, 2020' '$114.27']
 ['September 14th, 2020' '$152.49']
 ['September 13th, 2020' '$159.99']
 ['July 30th, 2020' '$77.01']
 ['July 30th, 2020' '$102.50']
 ['July 30th, 2020' '$76.00']
 ['July 30th, 2020' '$86.00']
 ['July 29th, 2020' '$113.61']
 ['July 26th, 2020' '$76.02']
 ['June 10th, 2020' '$38.00']
 ['May 26th, 2020' '$104.50']
 ['April 21st, 2020' '$55.00']
 ['March 5th, 2020' '$22.50']
 ['February 25th, 2020' '$18.50']
 ['February 4th, 2020' '$26.00']
 ['January 29th, 2020' '$23.83']
 ['November 20th, 2019' '$24.94']
 ['October 10th, 2019' '$10.50']
 ['April 29th, 2019' '$15.50']
 ['March 25th, 2019' '$7.57']
 ['March 14th, 2019' '$12.50']
 ['July 26th, 2018' '$8.25']
 ['February 24th, 2018' '$7.55']
 ['February 17th, 2018' '$15.50']
 ['October 20th, 2017' '$16.00']
 ['October 8th, 2017' '$14.50']
 ['July 16th, 2017' '$14.50']
 ['January 9th, 2017' '$23.50']
 ['July 9th, 2016' '$2.25']
 ['January 2nd, 2014' '$25.45']]

 Drummond PSA 9

 [['December 16th, 2020' '$19.05']
 ['October 23rd, 2020' '$33.00']
 ['October 21st, 2020' '$31.00']
 ['October 16th, 2020' '$29.99']
 ['September 27th, 2020' '$30.00']
 ['September 19th, 2020' '$24.00']
 ['August 9th, 2020' '$26.00']
 ['July 30th, 2020' '$18.50']
 ['July 28th, 2020' '$26.53']
 ['July 19th, 2020' '$22.50']
 ['March 2nd, 2020' '$10.49']
 ['May 22nd, 2018' '$6.50']
 ['August 8th, 2017' '$3.25']]
